Squad,Number of Payers Used,Average Age of the Team,Average Posession,Matches Played,Start by Players,Total Playing Time,90 Minutes Played,Goals,Assists,Non-Penalty Golas,Penalties Converted,Penalties Taken,Yellow Cards,Red Cards,Goals per 90 Minutes,Assists per 90 Minutes,Goals and Assists per 90 Minutes,Goals excluding Penalties per 90 Minutes,Goals and Assists excluding Penalties per 90 Minutes,Expected xG,Expected Non-Penalty xG,Expected xAG,Expected Non-Penalty xG and xAG,Expected xG per 90 Minutes,Expected xAG per 90 Minutes,Expected xG and xAG per 90 Minutes,Expected Non-Penalty xG per 90 Minutes,Expected Non-Penalty xG and xAG per 90 Minutes
VS Argentina,24,27.5,42.6,7,77,690,7.7,7,4,5,2,2,26,1,0.91,0.52,1.43,0.65,1.17,4.6,3.1,2.5,5.5,0.6,0.32,0.92,0.4,0.72
VS Australia,20,27,62.3,4,44,360,4,6,5,6,0,0,4,0,1.5,1.25,2.75,1.5,2.75,7.2,7.2,5.8,13,1.81,1.45,3.26,1.81,3.26
VS Belgium,20,27.5,43,3,33,270,3,2,2,2,0,1,3,0,0.67,0.67,1.33,0.67,1.33,4.6,3.9,3.9,7.8,1.52,1.31,2.82,1.29,2.6
VS Brazil,26,27.5,43.8,5,55,480,5.3,3,2,3,0,0,12,1,0.56,0.37,0.94,0.56,0.94,2,2,1.8,3.8,0.38,0.34,0.72,0.38,0.72
VS Cameroon,22,27.1,58.3,3,33,270,3,4,4,4,0,0,6,0,1.33,1.33,2.67,1.33,2.67,5.8,5.8,4.7,10.5,1.92,1.58,3.5,1.92,3.5
VS Canada,19,28.1,48,3,33,270,3,7,6,7,0,0,5,0,2.33,2,4.33,2.33,4.33,3.9,3.9,3.7,7.6,1.3,1.23,2.52,1.3,2.52
VS Costa Rica,22,26.9,68.7,3,33,270,3,11,7,10,1,1,3,0,3.67,2.33,6,3.33,5.67,10.1,9.3,7.1,16.5,3.38,2.37,5.75,3.11,5.49
VS Croatia,21,27.5,45.7,7,77,690,7.7,7,4,6,1,1,11,0,0.91,0.52,1.43,0.78,1.3,11,10.3,6.6,16.9,1.44,0.86,2.3,1.34,2.2
VS Denmark,20,27.1,40,3,33,270,3,3,3,3,0,0,4,0,1,1,2,1,2,3.9,3.9,3.5,7.3,1.29,1.16,2.45,1.29,2.45
VS Ecuador,18,27.2,46.7,3,33,270,3,3,1,2,1,1,5,0,1,0.33,1.33,0.67,1,2.6,1.8,1,2.8,0.85,0.35,1.2,0.59,0.93
VS England,20,26.5,37.2,5,55,450,5,4,3,3,1,1,8,0,0.8,0.6,1.4,0.6,1.2,4,3.7,3.1,6.8,0.81,0.62,1.43,0.73,1.35
VS France,24,26.8,48.7,7,77,660,7.3,8,4,5,3,4,15,0,1.09,0.55,1.64,0.68,1.23,10,6.9,4.5,11.4,1.37,0.61,1.98,0.94,1.55
VS Germany,20,28.1,40.7,3,33,270,3,5,2,5,0,0,2,0,1.67,0.67,2.33,1.67,2.33,3.4,3.4,1.7,5.1,1.13,0.56,1.7,1.13,1.7
VS Ghana,20,27.4,58,3,33,270,3,7,5,6,1,1,9,1,2.33,1.67,4,2,3.67,5.6,4.8,3.6,8.4,1.86,1.2,3.05,1.59,2.79
VS IR Iran,21,25.7,63.3,3,33,270,3,7,7,7,0,0,2,1,2.33,2.33,4.67,2.33,4.67,4.2,4.2,3.6,7.7,1.39,1.19,2.57,1.39,2.57
VS Japan,22,27.6,64.3,4,44,390,4.3,4,3,3,1,1,5,0,0.92,0.69,1.62,0.69,1.38,5.7,4.9,3,7.9,1.3,0.69,1.99,1.12,1.81
VS Korea Republic,21,27,51.8,4,44,360,4,8,6,7,1,1,3,0,2,1.5,3.5,1.75,3.25,7.1,6.3,4.9,11.2,1.77,1.23,3,1.58,2.8
VS Mexico,21,27.3,46,3,33,270,3,3,3,3,0,1,8,0,1,1,2,1,2,2.4,1.6,1.3,2.9,0.79,0.45,1.24,0.52,0.97
VS Morocco,25,27.2,61,7,77,660,7.3,4,2,4,0,0,7,0,0.55,0.27,0.82,0.55,0.82,7.4,7.4,5.3,12.8,1.01,0.73,1.74,1.01,1.74
VS Netherlands,21,26.4,47,5,55,480,5.3,4,2,3,1,1,13,0,0.75,0.37,1.13,0.56,0.94,6.1,5.3,3.9,9.2,1.14,0.73,1.87,0.99,1.72
VS Poland,21,27.5,62.8,4,44,360,4,5,5,5,0,2,6,0,1.25,1.25,2.5,1.25,2.5,7.3,5.8,4.2,10,1.82,1.04,2.86,1.46,2.5
VS Portugal,24,27.3,39.6,5,55,450,5,6,2,6,0,0,13,1,1.2,0.4,1.6,1.2,1.6,6.5,6.5,3.9,10.5,1.31,0.79,2.1,1.31,2.1
VS Qatar,20,26.5,57,3,33,270,3,7,4,6,1,1,6,0,2.33,1.33,3.67,2,3.33,3.5,2.8,1.6,4.4,1.18,0.53,1.71,0.92,1.45
VS Saudi Arabia,23,28.2,55.3,3,33,270,3,5,2,4,1,1,4,0,1.67,0.67,2.33,1.33,2,6,5.2,3.9,9.1,2,1.3,3.3,1.74,3.04
VS Senegal,20,26.5,55.3,4,44,360,4,7,6,7,0,0,4,0,1.75,1.5,3.25,1.75,3.25,3.5,3.5,3,6.5,0.88,0.76,1.64,0.88,1.64
VS Serbia,22,27.8,48.7,3,33,270,3,8,7,8,0,0,6,0,2.67,2.33,5,2.67,5,7.3,7.3,3.9,11.2,2.44,1.29,3.73,2.44,3.73
VS Spain,21,27.5,24.3,4,44,390,4.3,3,3,3,0,0,9,0,0.69,0.69,1.38,0.69,1.38,3.4,3.4,3.2,6.6,0.79,0.74,1.53,0.79,1.53
VS Switzerland,24,26.8,51,4,44,360,4,9,8,9,0,0,9,0,2.25,2,4.25,2.25,4.25,5.3,5.3,4.4,9.8,1.33,1.11,2.44,1.33,2.44
VS Tunisia,21,26.7,55.7,3,33,270,3,1,1,1,0,0,2,0,0.33,0.33,0.67,0.33,0.67,2.8,2.8,1.6,4.4,0.94,0.53,1.47,0.94,1.47
VS United States,20,27,47,4,44,360,4,4,3,3,1,1,7,0,1,0.75,1.75,0.75,1.5,4.4,3.6,3.1,6.7,1.09,0.78,1.87,0.89,1.67
VS Uruguay,19,27.1,51.3,3,33,270,3,2,1,1,1,2,7,0,0.67,0.33,1,0.33,0.67,3.5,2,1.8,3.8,1.18,0.6,1.78,0.66,1.27
VS Wales,18,26.6,53.3,3,33,270,3,6,4,6,0,0,6,0,2,1.33,3.33,2,3.33,4.6,4.6,3.2,7.8,1.53,1.07,2.6,1.53,2.6
