Match,Team,Goals,Total xG,Posession,Total Passes,Accurate Passes,Shots,Shots on Target,Fouls,Corner,Crosses,Touches,Tackles,Interceptions,Aerials Won,Clearances,Offside,Goal Kicks,Throw Ins,Long Ball,Yellow Card,Red Card,Team,Goals,Total xG,Posession,Total Passes,Accurate Passes,Shots,Shots on Target,Fouls,Corner,Crosses,Touches,Tackles,Interceptions,Aerials Won,Clearances,Offside,Goal Kicks,Throw Ins,Long Ball,Yellow Card,Red Card
1,Qatar,0,0.3,47%,469,377,5,0,15,1,8,549,10,2,14,18,3,4,20,51,4,0,Ecuador,2,1.2,53%,522,430,5,2,15,3,14,601,14,12,13,7,4,7,17,70,2,0
2,England,6,2.1,77%,838,740,13,7,9,8,21,922,13,7,10,4,2,5,18,87,0,0,Iran,2,1.4,23%,248,162,7,2,14,0,8,341,12,16,10,23,2,5,17,50,2,0
3,Senegal,0,0.9,46%,427,333,15,4,13,6,19,541,14,10,22,32,2,6,17,64,2,0,Netherlands,2,0.7,54%,494,387,10,3,13,7,25,573,10,6,20,16,1,10,28,66,1,0
4,USA,1,0.8,58%,624,524,6,1,15,5,30,724,14,6,14,18,1,5,22,56,4,0,Wales,1,1.5,42%,446,335,6,2,10,3,14,568,18,8,12,31,1,10,25,90,2,0
5,Argentina,1,2.2,69%,659,546,14,5,7,9,23,753,17,9,16,11,10,3,24,55,0,0,Saudi Arabia,2,0.1,31%,294,195,3,2,21,2,10,411,18,14,7,26,1,9,13,59,6,0
6,Denmark,0,1.4,61%,649,533,11,5,9,11,25,751,12,11,20,12,1,6,24,84,2,0,Tunisia,0,0.9,39%,419,308,13,1,10,9,13,545,24,8,13,38,1,6,24,77,1,0
7,Mexico,0,0.7,60%,547,436,11,4,14,6,33,649,16,5,16,19,3,7,21,64,2,0,Poland,0,0.9,40%,363,255,5,1,15,5,15,469,17,8,18,29,0,9,23,79,1,0
8,France,4,4,62%,768,678,23,6,5,8,27,870,20,12,16,6,0,8,17,60,0,0,Australia,1,0.5,38%,473,391,4,1,11,1,6,563,13,9,8,23,0,10,21,53,3,0
9,Morocco,0,0.4,36%,384,298,8,2,16,0,8,502,21,13,14,21,0,4,22,47,1,0,Croatia,0,0.5,64%,693,581,5,1,11,5,18,783,17,10,12,11,1,5,27,57,0,0
10,Germany,1,3.1,74%,836,727,25,8,6,6,25,932,11,3,21,4,4,8,33,64,0,0,Japan,2,1.5,26%,298,204,12,4,14,6,11,440,29,6,12,38,4,10,12,64,0,0
