Team,Number of Players Used,Average Age of the Team,Average Posession,Matches Played,Start by Players,Total Playing Time,90 Minutes Played,Goals,Assists,Non-Penalty Goals,Penalties Converted,Penalties Taken,Yellow Cards,Red Cards,Goals per 90 Minutes,Assists per 90 Minutes,Goals and Assists per 90 Minutes,Goals excluding Penalties per 90 Minutes,Goals and Assists excluding Penalties per 90 Minutes,xG,Non-Penalty xG,xAG,Non-Penalty xG and xAG,Expected xG per 90 Minutes,Expected xAG per 90 Minutes,Expected xG and xAG per 90 Minutes,Expected Non-Penalty xG per 90 Minutes,Expected Non-Penalty xG and xAG per 90 Minutes
Argentina,24,27.5,57.4,7,77,690,7.7,15,8,11,4,5,17,0,1.96,1.04,3,1.43,2.48,15.2,11.4,7.8,19.3,1.98,1.02,3,1.49,2.51
Australia,20,27.8,37.8,4,44,360,4,3,3,3,0,0,7,0,0.75,0.75,1.5,0.75,1.5,2.3,2.3,1.9,4.2,0.58,0.48,1.06,0.58,1.06
Belgium,20,29.7,57,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,4.7,4.7,3.8,8.5,1.57,1.27,2.85,1.57,2.85
Brazil,26,27.6,56.2,5,55,480,5.3,8,6,7,1,1,6,0,1.5,1.13,2.62,1.31,2.44,12,11.2,8.2,19.4,2.24,1.54,3.79,2.09,3.64
Cameroon,22,27.2,41.7,3,33,270,3,4,4,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67,3.4,3.4,2,5.4,1.14,0.66,1.8,1.14,1.8
Canada,19,27.3,52,3,33,270,3,1,1,1,0,1,8,0,0.33,0.33,0.67,0.33,0.67,4.2,3.6,2.8,6.4,1.41,0.95,2.35,1.18,2.13
Costa Rica,22,29.7,31.3,3,33,270,3,3,1,3,0,0,6,0,1,0.33,1.33,1,1.33,1.4,1.4,0.6,2,0.48,0.2,0.68,0.48,0.68
Croatia,21,28.3,54.3,7,77,690,7.7,8,8,8,0,0,8,0,1.04,1.04,2.09,1.04,2.09,7,7,5.6,12.6,0.91,0.74,1.65,0.91,1.65
Denmark,20,26.6,60,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.7,2.7,1.8,4.5,0.9,0.59,1.49,0.9,1.49
Ecuador,18,24.9,53.3,3,33,270,3,4,2,3,1,1,3,0,1.33,0.67,2,1,1.67,3.7,2.9,1.8,4.7,1.24,0.6,1.84,0.98,1.58
England,20,26.1,62.8,5,55,450,5,13,11,12,1,2,1,0,2.6,2.2,4.8,2.4,4.6,8.7,7.1,5.7,12.8,1.73,1.13,2.87,1.42,2.55
France,24,26.3,51.3,7,77,660,7.3,16,12,14,2,2,8,0,2.18,1.64,3.82,1.91,3.55,13.8,12.2,10.3,22.5,1.88,1.4,3.28,1.67,3.06
Germany,20,27.3,59.3,3,33,270,3,6,5,5,1,1,3,0,2,1.67,3.67,1.67,3.33,10.1,9.3,7.5,16.8,3.35,2.5,5.85,3.09,5.59
Ghana,20,25.5,42,3,33,270,3,5,2,5,0,1,8,0,1.67,0.67,2.33,1.67,2.33,4.1,3.4,1.7,5.1,1.38,0.57,1.95,1.13,1.7
Iran,21,28.5,36.7,3,33,270,3,4,2,3,1,1,7,0,1.33,0.67,2,1,1.67,3.2,2.8,2.4,5.2,1.07,0.81,1.88,0.94,1.75
Japan,22,28,35.8,4,44,390,4.3,5,4,5,0,0,6,0,1.15,0.92,2.08,1.15,2.08,5,5,3.5,8.5,1.15,0.81,1.96,1.15,1.96
Korea Republic,21,28.2,48.3,4,44,360,4,5,3,5,0,0,6,0,1.25,0.75,2,1.25,2,4.6,4.6,3.3,7.9,1.14,0.83,1.98,1.14,1.98
Mexico,21,28.2,54,3,33,270,3,2,1,2,0,0,7,0,0.67,0.33,1,0.67,1,3.3,3.3,2.7,6,1.09,0.9,1.99,1.09,1.99
Morocco,25,26.3,39,7,77,660,7.3,6,4,6,0,0,9,1,0.82,0.55,1.36,0.82,1.36,6.6,6.6,4.6,11.2,0.9,0.63,1.53,0.9,1.53
Netherlands,21,26.8,53,5,55,480,5.3,10,8,10,0,0,12,1,1.87,1.5,3.38,1.87,3.38,4.6,4.6,2.9,7.5,0.86,0.54,1.41,0.86,1.41
Poland,21,27.8,37.3,4,44,360,4,3,1,2,1,2,7,0,0.75,0.25,1,0.5,0.75,4.5,2.9,1.8,4.7,1.14,0.44,1.58,0.74,1.18
Portugal,24,26.9,60.4,5,55,450,5,12,10,10,2,2,6,0,2.4,2,4.4,2,4,7.8,6.2,5.2,11.4,1.56,1.04,2.6,1.24,2.29
Qatar,20,28.2,43,3,33,270,3,1,1,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,1.4,1.4,1.2,2.6,0.47,0.39,0.87,0.47,0.87
Saudi Arabia,23,27.3,44.7,3,33,270,3,3,2,3,0,1,14,0,1,0.67,1.67,1,1.67,3,2.1,1.4,3.5,0.99,0.47,1.47,0.71,1.18
Senegal,20,26.9,44.8,4,44,360,4,5,2,4,1,1,7,0,1.25,0.5,1.75,1,1.5,4.6,3.8,2.5,6.2,1.14,0.61,1.75,0.94,1.55
Serbia,22,26.5,51.3,3,33,270,3,5,4,5,0,0,12,0,1.67,1.33,3,1.67,3,3.4,3.4,2.9,6.2,1.12,0.95,2.07,1.12,2.07
Spain,21,25.5,75.8,4,44,390,4.3,9,5,8,1,1,2,0,2.08,1.15,3.23,1.85,3,6.2,5.4,4,9.4,1.42,0.92,2.34,1.24,2.16
Switzerland,24,27.6,49,4,44,360,4,5,4,5,0,0,9,0,1.25,1,2.25,1.25,2.25,5.6,5.6,3.6,9.2,1.41,0.89,2.3,1.41,2.3
